round,client,n_samples,train_loss,train_acc,val_loss,val_acc
1,0,5923,0.0,1.0,0.0,1.0
1,1,6742,0.0,1.0,0.0,1.0
1,2,5958,0.0,1.0,0.0,1.0
1,3,6131,0.0,1.0,0.0,1.0
1,4,5842,0.0,1.0,0.0,1.0
1,5,5421,0.0,1.0,0.0,1.0
1,6,5918,0.0,1.0,0.0,1.0
1,7,6265,0.0,1.0,0.0,1.0
1,8,5851,0.0,1.0,0.0,1.0
1,9,5949,0.0,1.0,0.0,1.0
2,0,5923,0.0,1.0,1.006835011759529e-09,1.0
2,1,6742,0.0,1.0,0.0,1.0
2,2,5958,0.0,1.0,2.8049234927249103e-09,1.0
2,3,6131,0.0,1.0,2.5280910937269162e-09,1.0
2,4,5842,0.0,1.0,3.0618810744072855e-09,1.0
2,5,5421,0.0,1.0,8.357831648576615e-09,1.0
2,6,5918,0.0,1.0,6.05123237098489e-10,1.0
2,7,6265,0.0,1.0,9.71192566765286e-09,1.0
2,8,5851,0.0,1.0,0.0,1.0
2,9,5949,0.0,1.0,9.030997788726907e-09,1.0
3,0,5923,0.0,1.0,7.249201071256205e-09,1.0
3,1,6742,0.0,1.0,0.0,1.0
3,2,5958,2.3374369106932136e-09,1.0,4.6080871152489715e-09,1.0
3,3,6131,8.514948746096707e-09,1.0,9.723431108672775e-10,1.0
3,4,5842,0.0,1.0,4.08250738542249e-09,1.0
3,5,5421,0.0,1.0,7.698006417633149e-09,1.0
3,6,5918,0.0,1.0,2.0170774289419505e-09,1.0
3,7,6265,0.0,1.0,6.284190780811092e-09,1.0
3,8,5851,0.0,1.0,0.0,1.0
3,9,5949,0.0,1.0,1.9065424698766168e-08,1.0
4,0,5923,0.0,1.0,3.0205029588614707e-09,1.0
4,1,6742,0.0,1.0,0.0,1.0
4,2,5958,0.0,1.0,3.005275048798765e-09,1.0
4,3,6131,0.0,1.0,3.889372768023704e-10,1.0
4,4,5842,0.0,1.0,1.6330035284432623e-09,1.0
4,5,5421,0.0,1.0,1.7595462635087081e-09,1.0
4,6,5918,0.0,1.0,6.051232611439284e-10,1.0
