round,test_loss,test_acc
0,2.317392974090576,0.0861
1,2.1213409561157226,0.2177
2,1.8873876621246337,0.4372
3,1.760598718070984,0.5331
4,1.688222307395935,0.5207
5,1.6265731817245483,0.5465
0,2.3173930000305174,0.0861
1,2.1213414039611815,0.2177
2,1.8874650358200074,0.4372
3,1.7606210397720337,0.5336
4,1.689064507675171,0.5208
5,1.6281909896850586,0.5445
0,2.3173930000305174,0.0861
1,2.1213414039611815,0.2177
2,1.8874650358200074,0.4372
3,1.7606210397720337,0.5336
4,1.689064507675171,0.5208
5,1.6281909896850586,0.5445
0,2.313823058319092,0.0834
1,2.135108713531494,0.229
2,2.0258634006500245,0.3784
3,1.9856446155548095,0.402
4,1.9464453119277954,0.4293
5,1.9365721063613892,0.385
